EMP ID,NAME,DEPARTMENT,MONTH,ATTENDANCE,STATUS,LEAVE TYPE,KPI SCORE,SATISFACTION
EMP-1643,Employee 643,Administration,November,92%,Reserved,Casual Leave,87 / 100,4 ★
EMP-1644,Employee 644,Sales,June,91%,Reserved,Casual Leave,90 / 100,4 ★
EMP-1645,Employee 645,Finance,March,76%,Reserved,Special Leave,74 / 100,2 ★
EMP-1646,Employee 646,Administration,July,96%,In Stock,None,98 / 100,5 ★
EMP-1647,Employee 647,Operations,July,73%,On Leave,Sick Leave,79 / 100,3 ★
EMP-1648,Employee 648,Sales,September,86%,Reserved,Sick Leave,74 / 100,5 ★
EMP-1649,Employee 649,Marketing,August,78%,Reserved,Sick Leave,62 / 100,4 ★
EMP-1650,Employee 650,Marketing,February,71%,Reserved,Sick Leave,73 / 100,3 ★
EMP-1651,Employee 651,Customer Support,May,99%,In Stock,None,92 / 100,5 ★
EMP-1652,Employee 652,Administration,April,73%,On Leave,Sick Leave,73 / 100,3 ★
EMP-1653,Employee 653,Procurement,July,70%,Reserved,Sick Leave,77 / 100,3 ★
EMP-1654,Employee 654,HR,February,82%,In Stock,Sick Leave,72 / 100,3 ★
EMP-1655,Employee 655,Customer Support,August,79%,On Leave,Sick Leave,78 / 100,4 ★
EMP-1656,Employee 656,Administration,September,99%,In Stock,None,97 / 100,5 ★
EMP-1657,Employee 657,Marketing,March,95%,In Stock,Casual Leave,92 / 100,4 ★
EMP-1658,Employee 658,Finance,December,85%,Reserved,Sick Leave,71 / 100,3 ★
EMP-1659,Employee 659,Operations,November,92%,Reserved,Casual Leave,82 / 100,5 ★
EMP-1660,Employee 660,R&D,July,84%,In Stock,None,83 / 100,5 ★
EMP-1661,Employee 661,Engineering,December,73%,On Leave,Special Leave,65 / 100,4 ★
EMP-1662,Employee 662,R&D,December,78%,On Leave,Sick Leave,66 / 100,2 ★
EMP-1663,Employee 663,Administration,March,76%,Reserved,Vacation,61 / 100,2 ★
EMP-1664,Employee 664,Finance,June,99%,In Stock,None,92 / 100,5 ★
EMP-1665,Employee 665,Engineering,January,100%,In Stock,None,94 / 100,5 ★
EMP-1666,Employee 666,R&D,February,79%,On Leave,Sick Leave,78 / 100,4 ★
EMP-1667,Employee 667,Procurement,March,96%,In Stock,None,100 / 100,5 ★
EMP-1668,Employee 668,Engineering,January,76%,Reserved,Vacation,76 / 100,2 ★
EMP-1669,Employee 669,Operations,May,96%,In Stock,None,96 / 100,5 ★
EMP-1670,Employee 670,R&D,June,94%,In Stock,None,86 / 100,4 ★
EMP-1671,Employee 671,Procurement,March,80%,Reserved,None,87 / 100,5 ★
EMP-1672,Employee 672,Finance,February,86%,In Stock,Sick Leave,75 / 100,5 ★
EMP-1673,Employee 673,R&D,May,75%,On Leave,Vacation,61 / 100,3 ★
EMP-1674,Employee 674,Customer Support,April,95%,Reserved,None,81 / 100,5 ★
EMP-1675,Employee 675,Finance,October,77%,Reserved,Sick Leave,70 / 100,3 ★
EMP-1676,Employee 676,Operations,June,99%,In Stock,None,90 / 100,5 ★
EMP-1677,Employee 677,R&D,April,71%,On Leave,Special Leave,80 / 100,4 ★
EMP-1678,Employee 678,Sales,March,76%,Reserved,Special Leave,66 / 100,4 ★
EMP-1679,Employee 679,Sales,October,86%,Reserved,Casual Leave,82 / 100,5 ★
EMP-1680,Employee 680,Finance,December,99%,In Stock,None,99 / 100,5 ★
EMP-1681,Employee 681,Customer Support,May,70%,Reserved,Sick Leave,77 / 100,4 ★
EMP-1682,Employee 682,HR,November,81%,In Stock,Casual Leave,82 / 100,4 ★
EMP-1683,Employee 683,Engineering,August,82%,Reserved,Casual Leave,87 / 100,3 ★
EMP-1684,Employee 684,Procurement,October,85%,In Stock,None,72 / 100,5 ★
EMP-1685,Employee 685,Procurement,October,84%,In Stock,None,75 / 100,4 ★
EMP-1686,Employee 686,Legal,July,96%,In Stock,None,93 / 100,5 ★
EMP-1687,Employee 687,Legal,October,80%,Reserved,None,80 / 100,3 ★
EMP-1688,Employee 688,Marketing,July,76%,On Leave,Vacation,64 / 100,4 ★
EMP-1689,Employee 689,IT,November,79%,Reserved,Vacation,69 / 100,2 ★
EMP-1690,Employee 690,Finance,January,81%,In Stock,Casual Leave,90 / 100,5 ★
EMP-1691,Employee 691,Sales,October,99%,In Stock,None,94 / 100,5 ★
EMP-1692,Employee 692,Operations,February,94%,In Stock,Casual Leave,82 / 100,5 ★
EMP-1693,Employee 693,Procurement,May,84%,Reserved,Casual Leave,87 / 100,5 ★
EMP-1694,Employee 694,Customer Support,April,85%,Reserved,None,90 / 100,5 ★
EMP-1695,Employee 695,Finance,August,72%,Reserved,Vacation,73 / 100,4 ★
EMP-1696,Employee 696,Sales,April,84%,In Stock,None,86 / 100,5 ★
EMP-1697,Employee 697,Engineering,June,83%,In Stock,None,72 / 100,4 ★
EMP-1698,Employee 698,R&D,May,98%,In Stock,None,96 / 100,5 ★
EMP-1699,Employee 699,Operations,November,93%,Reserved,None,91 / 100,4 ★
EMP-1700,Employee 700,Operations,June,94%,Reserved,Casual Leave,92 / 100,5 ★
EMP-1701,Employee 701,Customer Support,November,93%,Reserved,Casual Leave,81 / 100,5 ★
EMP-1702,Employee 702,R&D,February,77%,On Leave,Vacation,68 / 100,2 ★
EMP-1703,Employee 703,IT,May,79%,Reserved,Special Leave,71 / 100,3 ★
EMP-1704,Employee 704,IT,February,72%,Reserved,Vacation,69 / 100,4 ★
EMP-1705,Employee 705,Finance,April,91%,Reserved,Casual Leave,91 / 100,5 ★
EMP-1706,Employee 706,Customer Support,June,95%,In Stock,Casual Leave,93 / 100,5 ★
EMP-1707,Employee 707,HR,May,89%,Reserved,None,71 / 100,5 ★
EMP-1708,Employee 708,Sales,December,81%,Reserved,Sick Leave,72 / 100,3 ★
EMP-1709,Employee 709,R&D,May,72%,On Leave,Sick Leave,73 / 100,2 ★
EMP-1710,Employee 710,Marketing,July,84%,Reserved,Sick Leave,84 / 100,4 ★
EMP-1711,Employee 711,Procurement,December,99%,In Stock,None,97 / 100,5 ★
EMP-1712,Employee 712,Finance,February,93%,Reserved,Casual Leave,84 / 100,5 ★
EMP-1713,Employee 713,IT,April,99%,In Stock,None,93 / 100,5 ★
EMP-1714,Employee 714,Marketing,March,90%,In Stock,Casual Leave,82 / 100,5 ★
EMP-1715,Employee 715,Operations,July,90%,Reserved,Casual Leave,92 / 100,5 ★
EMP-1716,Employee 716,Legal,July,87%,Reserved,Casual Leave,84 / 100,4 ★
EMP-1717,Employee 717,Finance,December,75%,Reserved,Special Leave,60 / 100,2 ★
EMP-1718,Employee 718,Administration,November,83%,Reserved,None,88 / 100,5 ★
EMP-1719,Employee 719,Legal,June,87%,Reserved,None,79 / 100,5 ★
EMP-1720,Employee 720,Sales,May,94%,In Stock,None,85 / 100,5 ★
EMP-1721,Employee 721,Procurement,August,85%,In Stock,Sick Leave,84 / 100,3 ★
EMP-1722,Employee 722,Operations,December,97%,In Stock,None,99 / 100,5 ★
EMP-1723,Employee 723,Administration,November,77%,Reserved,Vacation,69 / 100,3 ★
EMP-1724,Employee 724,Marketing,October,82%,Reserved,Sick Leave,89 / 100,5 ★
EMP-1725,Employee 725,Sales,September,100%,In Stock,None,97 / 100,5 ★
EMP-1726,Employee 726,Finance,November,72%,On Leave,Special Leave,74 / 100,3 ★
EMP-1727,Employee 727,Finance,August,90%,In Stock,Casual Leave,91 / 100,5 ★
EMP-1728,Employee 728,Procurement,February,90%,Reserved,None,88 / 100,4 ★
EMP-1729,Employee 729,Procurement,April,75%,On Leave,Sick Leave,68 / 100,2 ★
EMP-1730,Employee 730,Administration,October,85%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1731,Employee 731,Legal,July,99%,In Stock,None,95 / 100,5 ★
EMP-1732,Employee 732,HR,January,81%,In Stock,None,86 / 100,5 ★
EMP-1733,Employee 733,Finance,February,70%,Reserved,Vacation,66 / 100,3 ★
EMP-1734,Employee 734,Marketing,February,95%,In Stock,None,86 / 100,4 ★
EMP-1735,Employee 735,Finance,June,77%,On Leave,Vacation,62 / 100,4 ★
EMP-1736,Employee 736,Finance,May,76%,Reserved,Special Leave,67 / 100,3 ★
EMP-1737,Employee 737,Procurement,October,74%,On Leave,Vacation,79 / 100,4 ★
EMP-1738,Employee 738,Engineering,May,99%,In Stock,None,99 / 100,5 ★
EMP-1739,Employee 739,Sales,April,75%,Reserved,Special Leave,78 / 100,4 ★
EMP-1740,Employee 740,Operations,February,77%,Reserved,Sick Leave,69 / 100,4 ★
EMP-1741,Employee 741,Legal,December,89%,Reserved,None,86 / 100,3 ★
EMP-1742,Employee 742,Operations,September,85%,In Stock,None,78 / 100,4 ★
EMP-1743,Employee 743,Engineering,January,80%,Reserved,None,75 / 100,5 ★
EMP-1744,Employee 744,Procurement,July,75%,On Leave,Vacation,65 / 100,3 ★
EMP-1745,Employee 745,Customer Support,June,92%,In Stock,Casual Leave,90 / 100,4 ★
EMP-1746,Employee 746,Marketing,May,84%,In Stock,Sick Leave,80 / 100,4 ★
EMP-1747,Employee 747,Procurement,January,97%,In Stock,None,96 / 100,5 ★
EMP-1748,Employee 748,Engineering,June,71%,On Leave,Special Leave,76 / 100,3 ★
EMP-1749,Employee 749,HR,September,87%,In Stock,None,73 / 100,3 ★
EMP-1750,Employee 750,Marketing,June,98%,In Stock,None,92 / 100,5 ★
EMP-1751,Employee 751,Marketing,October,84%,In Stock,Casual Leave,72 / 100,3 ★
EMP-1752,Employee 752,Finance,February,73%,Reserved,Special Leave,76 / 100,3 ★
EMP-1753,Employee 753,Marketing,April,99%,In Stock,None,91 / 100,5 ★
EMP-1754,Employee 754,Administration,July,91%,Reserved,Casual Leave,84 / 100,4 ★
EMP-1755,Employee 755,Engineering,January,79%,Reserved,Vacation,68 / 100,3 ★
EMP-1756,Employee 756,Engineering,July,85%,In Stock,Casual Leave,82 / 100,3 ★
EMP-1757,Employee 757,Finance,June,88%,In Stock,None,89 / 100,5 ★
EMP-1758,Employee 758,IT,May,88%,Reserved,Sick Leave,89 / 100,4 ★
EMP-1759,Employee 759,HR,May,70%,Reserved,Vacation,78 / 100,3 ★
EMP-1760,Employee 760,Procurement,November,82%,In Stock,None,80 / 100,4 ★
EMP-1761,Employee 761,Legal,December,76%,Reserved,Special Leave,62 / 100,3 ★
EMP-1762,Employee 762,Procurement,March,81%,Reserved,None,76 / 100,3 ★
EMP-1763,Employee 763,Administration,December,90%,In Stock,None,88 / 100,4 ★
EMP-1764,Employee 764,Procurement,July,78%,On Leave,Sick Leave,69 / 100,4 ★
EMP-1765,Employee 765,Finance,May,94%,Reserved,None,83 / 100,4 ★
EMP-1766,Employee 766,Legal,May,99%,In Stock,None,96 / 100,5 ★
EMP-1767,Employee 767,Marketing,December,77%,On Leave,Sick Leave,70 / 100,4 ★
EMP-1768,Employee 768,Marketing,April,81%,Reserved,Sick Leave,77 / 100,4 ★
EMP-1769,Employee 769,Customer Support,June,100%,In Stock,None,100 / 100,5 ★
EMP-1770,Employee 770,Sales,March,94%,In Stock,None,85 / 100,4 ★
EMP-1771,Employee 771,Sales,November,83%,Reserved,Casual Leave,72 / 100,3 ★
EMP-1772,Employee 772,Procurement,August,96%,In Stock,None,94 / 100,5 ★
EMP-1773,Employee 773,HR,May,86%,Reserved,Sick Leave,78 / 100,5 ★
EMP-1774,Employee 774,Marketing,October,96%,In Stock,None,96 / 100,5 ★
EMP-1775,Employee 775,Legal,September,77%,On Leave,Vacation,71 / 100,3 ★
EMP-1776,Employee 776,IT,July,80%,Reserved,Casual Leave,82 / 100,3 ★
EMP-1777,Employee 777,Procurement,September,76%,On Leave,Vacation,73 / 100,2 ★
EMP-1778,Employee 778,HR,December,74%,Reserved,Special Leave,76 / 100,2 ★
EMP-1779,Employee 779,Customer Support,November,94%,In Stock,Casual Leave,80 / 100,4 ★
EMP-1780,Employee 780,Engineering,March,90%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1781,Employee 781,HR,November,93%,Reserved,None,82 / 100,5 ★
EMP-1782,Employee 782,Operations,March,98%,In Stock,None,91 / 100,5 ★
EMP-1783,Employee 783,Administration,August,78%,Reserved,Sick Leave,62 / 100,4 ★
EMP-1784,Employee 784,R&D,August,81%,Reserved,None,82 / 100,3 ★
EMP-1785,Employee 785,Legal,February,74%,On Leave,Sick Leave,73 / 100,4 ★
EMP-1786,Employee 786,Customer Support,February,81%,Reserved,None,71 / 100,3 ★
EMP-1787,Employee 787,HR,February,98%,In Stock,None,100 / 100,5 ★
EMP-1788,Employee 788,Procurement,December,91%,In Stock,Casual Leave,93 / 100,4 ★
EMP-1789,Employee 789,Procurement,November,86%,Reserved,Casual Leave,90 / 100,3 ★
EMP-1790,Employee 790,Sales,September,81%,Reserved,None,70 / 100,5 ★
EMP-1791,Employee 791,Sales,November,86%,Reserved,Casual Leave,83 / 100,3 ★
EMP-1792,Employee 792,Administration,April,95%,Reserved,Casual Leave,80 / 100,4 ★
EMP-1793,Employee 793,Marketing,May,94%,In Stock,None,95 / 100,4 ★
EMP-1794,Employee 794,HR,March,71%,Reserved,Sick Leave,71 / 100,4 ★
EMP-1795,Employee 795,Engineering,July,98%,In Stock,None,95 / 100,5 ★
EMP-1796,Employee 796,Administration,October,81%,In Stock,None,75 / 100,3 ★
EMP-1797,Employee 797,Finance,April,93%,Reserved,Casual Leave,95 / 100,4 ★
EMP-1798,Employee 798,Administration,July,76%,Reserved,Sick Leave,73 / 100,2 ★
EMP-1799,Employee 799,HR,April,78%,Reserved,Sick Leave,65 / 100,3 ★
EMP-1800,Employee 800,Procurement,April,93%,Reserved,Casual Leave,87 / 100,4 ★
EMP-1801,Employee 801,Legal,October,77%,On Leave,Special Leave,78 / 100,2 ★
EMP-1802,Employee 802,IT,July,99%,In Stock,None,90 / 100,5 ★
EMP-1803,Employee 803,R&D,March,77%,On Leave,Vacation,71 / 100,4 ★
EMP-1804,Employee 804,Finance,March,85%,Reserved,Sick Leave,81 / 100,3 ★
EMP-1805,Employee 805,Engineering,February,72%,Reserved,Special Leave,64 / 100,4 ★
EMP-1806,Employee 806,Legal,November,70%,On Leave,Vacation,62 / 100,2 ★
EMP-1807,Employee 807,Administration,February,72%,On Leave,Vacation,79 / 100,2 ★
EMP-1808,Employee 808,R&D,August,75%,Reserved,Special Leave,60 / 100,2 ★
EMP-1809,Employee 809,Procurement,October,85%,In Stock,Casual Leave,89 / 100,3 ★
EMP-1810,Employee 810,HR,April,93%,Reserved,None,87 / 100,4 ★
EMP-1811,Employee 811,Customer Support,July,79%,On Leave,Special Leave,70 / 100,4 ★
EMP-1812,Employee 812,Administration,November,82%,Reserved,Casual Leave,87 / 100,5 ★
EMP-1813,Employee 813,Administration,November,90%,In Stock,None,80 / 100,4 ★
EMP-1814,Employee 814,HR,August,74%,Reserved,Special Leave,61 / 100,4 ★
EMP-1815,Employee 815,Sales,March,91%,In Stock,Casual Leave,93 / 100,5 ★
EMP-1816,Employee 816,Engineering,October,78%,On Leave,Special Leave,65 / 100,2 ★
EMP-1817,Employee 817,Marketing,December,98%,In Stock,None,97 / 100,5 ★
EMP-1818,Employee 818,Finance,November,73%,Reserved,Special Leave,68 / 100,2 ★
EMP-1819,Employee 819,R&D,July,90%,Reserved,Casual Leave,80 / 100,4 ★
EMP-1820,Employee 820,Customer Support,February,84%,In Stock,None,80 / 100,5 ★
EMP-1821,Employee 821,Operations,May,99%,In Stock,None,96 / 100,5 ★
EMP-1822,Employee 822,HR,July,92%,In Stock,Casual Leave,83 / 100,5 ★
EMP-1823,Employee 823,R&D,January,70%,On Leave,Vacation,60 / 100,2 ★
EMP-1824,Employee 824,R&D,April,72%,Reserved,Vacation,62 / 100,4 ★
EMP-1825,Employee 825,Marketing,November,73%,On Leave,Special Leave,77 / 100,2 ★
EMP-1826,Employee 826,IT,May,96%,In Stock,None,99 / 100,5 ★
EMP-1827,Employee 827,IT,August,99%,In Stock,None,94 / 100,5 ★
EMP-1828,Employee 828,R&D,January,75%,Reserved,Special Leave,71 / 100,2 ★
EMP-1829,Employee 829,Sales,August,75%,Reserved,Sick Leave,79 / 100,4 ★
EMP-1830,Employee 830,Finance,September,84%,In Stock,None,89 / 100,3 ★
EMP-1831,Employee 831,Engineering,October,79%,On Leave,Vacation,64 / 100,2 ★
EMP-1832,Employee 832,Customer Support,May,88%,Reserved,Sick Leave,82 / 100,4 ★
EMP-1833,Employee 833,IT,February,100%,In Stock,None,100 / 100,5 ★
EMP-1834,Employee 834,Legal,December,84%,In Stock,None,75 / 100,4 ★
EMP-1835,Employee 835,Sales,November,98%,In Stock,None,97 / 100,5 ★
EMP-1836,Employee 836,Administration,June,95%,In Stock,Casual Leave,86 / 100,4 ★
EMP-1837,Employee 837,IT,February,91%,In Stock,None,85 / 100,5 ★
EMP-1838,Employee 838,Finance,March,90%,In Stock,Casual Leave,86 / 100,4 ★
EMP-1839,Employee 839,HR,October,70%,Reserved,Special Leave,78 / 100,3 ★
EMP-1840,Employee 840,Administration,December,93%,In Stock,Casual Leave,93 / 100,5 ★
EMP-1841,Employee 841,Legal,October,92%,Reserved,None,86 / 100,5 ★
EMP-1842,Employee 842,Operations,February,92%,Reserved,Casual Leave,84 / 100,5 ★
EMP-1843,Employee 843,Finance,March,85%,Reserved,Sick Leave,83 / 100,3 ★
EMP-1844,Employee 844,Finance,April,80%,In Stock,None,80 / 100,3 ★
EMP-1845,Employee 845,Legal,February,82%,Reserved,None,74 / 100,3 ★
EMP-1846,Employee 846,Sales,July,75%,On Leave,Vacation,75 / 100,2 ★
EMP-1847,Employee 847,Operations,March,77%,On Leave,Vacation,69 / 100,2 ★
EMP-1848,Employee 848,R&D,April,91%,In Stock,None,87 / 100,4 ★
EMP-1849,Employee 849,R&D,December,81%,In Stock,None,81 / 100,4 ★
EMP-1850,Employee 850,Legal,July,84%,Reserved,Casual Leave,87 / 100,3 ★
EMP-1851,Employee 851,Operations,October,97%,In Stock,None,96 / 100,5 ★
EMP-1852,Employee 852,Sales,June,99%,In Stock,None,92 / 100,5 ★
EMP-1853,Employee 853,R&D,February,92%,Reserved,Casual Leave,94 / 100,5 ★
EMP-1854,Employee 854,Legal,February,98%,In Stock,None,90 / 100,5 ★
EMP-1855,Employee 855,Operations,November,78%,On Leave,Sick Leave,61 / 100,4 ★
EMP-1856,Employee 856,Engineering,May,93%,Reserved,None,94 / 100,4 ★
EMP-1857,Employee 857,Engineering,December,85%,In Stock,None,83 / 100,5 ★
EMP-1858,Employee 858,Legal,January,70%,On Leave,Sick Leave,76 / 100,3 ★
EMP-1859,Employee 859,Operations,March,76%,On Leave,Special Leave,73 / 100,3 ★
EMP-1860,Employee 860,IT,December,94%,In Stock,Casual Leave,91 / 100,4 ★
EMP-1861,Employee 861,Legal,March,81%,In Stock,None,78 / 100,5 ★
EMP-1862,Employee 862,Sales,June,75%,On Leave,Sick Leave,62 / 100,3 ★
EMP-1863,Employee 863,Finance,May,89%,In Stock,Sick Leave,90 / 100,5 ★
EMP-1864,Employee 864,Customer Support,September,90%,Reserved,Casual Leave,83 / 100,4 ★
EMP-1865,Employee 865,Administration,November,78%,On Leave,Vacation,64 / 100,4 ★
EMP-1866,Employee 866,HR,August,85%,Reserved,Sick Leave,74 / 100,4 ★
EMP-1867,Employee 867,Operations,April,95%,In Stock,None,91 / 100,5 ★
EMP-1868,Employee 868,Operations,April,75%,Reserved,Vacation,71 / 100,4 ★
EMP-1869,Employee 869,R&D,January,71%,Reserved,Sick Leave,64 / 100,2 ★
EMP-1870,Employee 870,Finance,August,84%,In Stock,Casual Leave,74 / 100,5 ★
EMP-1871,Employee 871,Sales,August,82%,In Stock,None,74 / 100,3 ★
EMP-1872,Employee 872,Marketing,February,89%,Reserved,None,90 / 100,5 ★
EMP-1873,Employee 873,HR,March,75%,On Leave,Sick Leave,67 / 100,2 ★
EMP-1874,Employee 874,Sales,November,100%,In Stock,None,100 / 100,5 ★
EMP-1875,Employee 875,Sales,July,90%,In Stock,Casual Leave,84 / 100,4 ★
EMP-1876,Employee 876,Legal,August,78%,On Leave,Sick Leave,61 / 100,2 ★
EMP-1877,Employee 877,Legal,April,95%,Reserved,Casual Leave,88 / 100,4 ★
EMP-1878,Employee 878,HR,March,81%,Reserved,Casual Leave,86 / 100,5 ★
EMP-1879,Employee 879,Finance,September,76%,Reserved,Sick Leave,79 / 100,4 ★
EMP-1880,Employee 880,Administration,June,93%,In Stock,None,82 / 100,4 ★
EMP-1881,Employee 881,R&D,January,82%,Reserved,Sick Leave,81 / 100,4 ★
EMP-1882,Employee 882,R&D,March,86%,Reserved,None,77 / 100,3 ★
EMP-1883,Employee 883,IT,September,77%,Reserved,Sick Leave,76 / 100,3 ★
EMP-1884,Employee 884,Marketing,October,86%,Reserved,Sick Leave,75 / 100,4 ★
EMP-1885,Employee 885,IT,June,77%,On Leave,Vacation,70 / 100,2 ★
EMP-1886,Employee 886,Procurement,April,76%,On Leave,Special Leave,62 / 100,2 ★
EMP-1887,Employee 887,HR,June,86%,Reserved,Casual Leave,73 / 100,5 ★
EMP-1888,Employee 888,Procurement,April,74%,Reserved,Vacation,61 / 100,3 ★
EMP-1889,Employee 889,Finance,April,99%,In Stock,None,100 / 100,5 ★
EMP-1890,Employee 890,Legal,December,95%,In Stock,None,85 / 100,5 ★
EMP-1891,Employee 891,IT,August,73%,On Leave,Vacation,60 / 100,2 ★
EMP-1892,Employee 892,R&D,April,96%,In Stock,None,99 / 100,5 ★
EMP-1893,Employee 893,Procurement,January,98%,In Stock,None,98 / 100,5 ★
EMP-1894,Employee 894,Engineering,March,72%,Reserved,Sick Leave,62 / 100,3 ★
EMP-1895,Employee 895,Finance,January,77%,Reserved,Vacation,72 / 100,4 ★
EMP-1896,Employee 896,R&D,July,90%,Reserved,None,83 / 100,5 ★
EMP-1897,Employee 897,Engineering,August,74%,On Leave,Special Leave,69 / 100,2 ★
EMP-1898,Employee 898,Finance,November,83%,Reserved,Casual Leave,90 / 100,3 ★
EMP-1899,Employee 899,IT,November,77%,On Leave,Special Leave,69 / 100,3 ★
EMP-1900,Employee 900,Sales,June,78%,Reserved,Vacation,72 / 100,3 ★
EMP-1901,Employee 901,Legal,November,70%,On Leave,Vacation,67 / 100,2 ★
EMP-1902,Employee 902,Administration,November,81%,Reserved,None,85 / 100,3 ★
EMP-1903,Employee 903,Finance,November,83%,In Stock,None,81 / 100,4 ★
EMP-1904,Employee 904,R&D,March,100%,In Stock,None,99 / 100,5 ★
EMP-1905,Employee 905,Sales,December,99%,In Stock,None,94 / 100,5 ★
EMP-1906,Employee 906,Administration,July,78%,On Leave,Sick Leave,76 / 100,4 ★
EMP-1907,Employee 907,HR,September,92%,Reserved,None,92 / 100,4 ★
EMP-1908,Employee 908,Finance,November,97%,In Stock,None,92 / 100,5 ★
EMP-1909,Employee 909,Marketing,January,71%,Reserved,Special Leave,77 / 100,2 ★
EMP-1910,Employee 910,IT,August,83%,Reserved,Casual Leave,83 / 100,3 ★
EMP-1911,Employee 911,R&D,December,97%,In Stock,None,99 / 100,5 ★
EMP-1912,Employee 912,Operations,May,76%,On Leave,Vacation,62 / 100,4 ★
EMP-1913,Employee 913,R&D,October,70%,On Leave,Vacation,62 / 100,3 ★
EMP-1914,Employee 914,Sales,April,97%,In Stock,None,94 / 100,5 ★
EMP-1915,Employee 915,Procurement,August,93%,Reserved,Casual Leave,94 / 100,5 ★
EMP-1916,Employee 916,Marketing,April,78%,On Leave,Special Leave,69 / 100,3 ★
EMP-1917,Employee 917,HR,October,70%,Reserved,Special Leave,80 / 100,3 ★
EMP-1918,Employee 918,Engineering,January,86%,Reserved,None,72 / 100,5 ★
EMP-1919,Employee 919,Sales,May,95%,In Stock,None,92 / 100,5 ★
EMP-1920,Employee 920,Engineering,January,81%,In Stock,None,87 / 100,5 ★
EMP-1921,Employee 921,IT,May,93%,In Stock,None,91 / 100,5 ★
EMP-1922,Employee 922,Administration,March,86%,In Stock,Casual Leave,82 / 100,5 ★
EMP-1923,Employee 923,HR,November,71%,On Leave,Vacation,60 / 100,3 ★
EMP-1924,Employee 924,HR,December,86%,In Stock,None,75 / 100,3 ★
EMP-1925,Employee 925,Sales,August,87%,In Stock,Sick Leave,77 / 100,3 ★
EMP-1926,Employee 926,Legal,January,95%,Reserved,Casual Leave,83 / 100,5 ★
EMP-1927,Employee 927,Legal,February,79%,Reserved,Vacation,60 / 100,4 ★
EMP-1928,Employee 928,R&D,November,95%,In Stock,None,94 / 100,4 ★
EMP-1929,Employee 929,Engineering,July,88%,Reserved,Sick Leave,82 / 100,5 ★
EMP-1930,Employee 930,Customer Support,January,76%,On Leave,Vacation,65 / 100,3 ★
EMP-1931,Employee 931,Engineering,October,86%,Reserved,None,82 / 100,3 ★
EMP-1932,Employee 932,Customer Support,August,99%,In Stock,None,96 / 100,5 ★
EMP-1933,Employee 933,Engineering,May,75%,On Leave,Sick Leave,79 / 100,2 ★
EMP-1934,Employee 934,Sales,November,85%,Reserved,None,83 / 100,5 ★
EMP-1935,Employee 935,HR,October,75%,Reserved,Special Leave,62 / 100,2 ★
EMP-1936,Employee 936,Procurement,November,82%,Reserved,None,72 / 100,4 ★
EMP-1937,Employee 937,IT,March,80%,Reserved,Sick Leave,85 / 100,5 ★
EMP-1938,Employee 938,R&D,November,81%,Reserved,Sick Leave,84 / 100,5 ★
EMP-1939,Employee 939,Operations,June,78%,Reserved,Vacation,78 / 100,3 ★
EMP-1940,Employee 940,Finance,August,82%,In Stock,Casual Leave,75 / 100,5 ★
EMP-1941,Employee 941,Customer Support,December,88%,Reserved,None,88 / 100,5 ★
EMP-1942,Employee 942,Operations,November,90%,In Stock,None,83 / 100,5 ★
EMP-1943,Employee 943,Sales,February,90%,In Stock,None,87 / 100,4 ★
EMP-1944,Employee 944,Administration,August,75%,Reserved,Special Leave,79 / 100,3 ★
EMP-1945,Employee 945,Marketing,July,90%,In Stock,Casual Leave,88 / 100,4 ★
EMP-1946,Employee 946,IT,May,91%,In Stock,None,82 / 100,4 ★
EMP-1947,Employee 947,Legal,February,81%,In Stock,None,75 / 100,5 ★
EMP-1948,Employee 948,Procurement,January,89%,Reserved,Casual Leave,71 / 100,3 ★
EMP-1949,Employee 949,Sales,July,73%,On Leave,Sick Leave,63 / 100,3 ★
EMP-1950,Employee 950,Finance,May,70%,Reserved,Special Leave,79 / 100,2 ★
EMP-1951,Employee 951,Customer Support,April,85%,In Stock,Casual Leave,89 / 100,4 ★
EMP-1952,Employee 952,Legal,February,95%,Reserved,Casual Leave,89 / 100,4 ★
EMP-1953,Employee 953,Marketing,August,81%,Reserved,Casual Leave,89 / 100,4 ★
EMP-1954,Employee 954,Engineering,July,98%,In Stock,None,98 / 100,5 ★
EMP-1955,Employee 955,HR,November,71%,Reserved,Sick Leave,70 / 100,3 ★
EMP-1956,Employee 956,Finance,January,72%,Reserved,Sick Leave,70 / 100,3 ★
EMP-1957,Employee 957,Administration,December,75%,On Leave,Special Leave,72 / 100,2 ★
EMP-1958,Employee 958,Sales,September,83%,In Stock,None,81 / 100,4 ★
EMP-1959,Employee 959,Administration,December,92%,In Stock,None,93 / 100,5 ★
EMP-1960,Employee 960,IT,May,84%,In Stock,None,83 / 100,4 ★
EMP-1961,Employee 961,Procurement,March,83%,Reserved,Casual Leave,78 / 100,3 ★
EMP-1962,Employee 962,Sales,October,94%,In Stock,Casual Leave,93 / 100,4 ★
EMP-1963,Employee 963,Finance,June,73%,Reserved,Vacation,71 / 100,4 ★
EMP-1964,Employee 964,Customer Support,September,84%,In Stock,None,76 / 100,3 ★
EMP-1965,Employee 965,Sales,September,82%,Reserved,None,80 / 100,3 ★
EMP-1966,Employee 966,Marketing,August,77%,Reserved,Vacation,74 / 100,4 ★
